Start_Date,End_Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2022-01-16,2022-01-16,AirNow,370670022,3,5.4,ug/m3 LC,23,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-17,2022-01-17,AirNow,370670022,3,5.5,ug/m3 LC,23,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-10,2022-02-10,AirNow,370670022,3,5.4,ug/m3 LC,23,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-19,2022-02-19,AirNow,370670030,3,5.6,ug/m3 LC,23,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-02-23,2022-02-23,AirNow,370670022,3,5.4,ug/m3 LC,23,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-28,2022-02-28,AirNow,370670022,3,5.3,ug/m3 LC,22,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-01-21,2022-01-21,AirNow,370670030,3,5,ug/m3 LC,21,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-29,2022-01-29,AirNow,370670030,3,5.1,ug/m3 LC,21,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
2022-01-11,2022-01-11,AirNow,370670022,3,4.7,ug/m3 LC,20,Hattie Avenue,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.11094,-80.224501
2022-02-20,2022-02-20,AirNow,370670030,3,4.8,ug/m3 LC,20,Clemmons Middle,1,100,88101,PM2.5 - Local Conditions,49180,"Winston-Salem, NC",37,North Carolina,67,Forsyth,36.026612,-80.341962
